id,title,price,category,keywords,short_desc,full_desc,images_links,images_names
1871,معطر جو كوتاج  - عبير الزهور 300 مل,5.75,الكماليات,معطر جو، ملطف جو,معطر جو بانتعاش الزهور الطبيعية,"معطر جو منزلي متعدد الإستخدامات
يعطي رائحة زكية للمكان
ينقي الجو ويجلب للمكان نفحات من الإنتعاش",https://smartshopping.sa/web/image/product.product/1871/image_1024,product_product_1871_image_1024.png
1863,معطر المراحيض مايور دومو 125 مل,11.5,الكماليات,معطر مراحيض، مرحاض، ملطف جو,"معطر جو فاخر مركّز من مايوردومو يملأ حمامك بالإنتعاش والعطر المميز لساعات
","معطر جو للحمامات متعدد الإستخدامات
يعطي رائحة زكية للمكان
ينقي الجو ويجلب للمكان نفحات من الإنتعاش",https://smartshopping.sa/web/image/product.product/1863/image_1024,product_product_1863_image_1024.png
1720,حفاضات اطفال بيبي جوي مضغوطة مقاس 4 كبير,11.5,الكماليات,حفاضات، بيبي جوي، حفاظة أطفال,حفائض بيبي جوي مضغوطة عبوة التوفير مقاس كبير 10-18 كيلو عدد 11 حفائض,"يمتص البلل اكثر طوال الليل الى غاية 12 ساعة ويبقي طفلك جافا حتى الصباح
خاصية التنفس الفريدة
حشوة ماسية مضغوطة
ملمس قطني
ملائمة مثالية",https://smartshopping.sa/web/image/product.product/1720/image_1024,product_product_1720_image_1024.png
1854,مسحوق غسيل للغسالات العاديه  1.5 كيلو,11.5,الكماليات,مسحوق غسيل، صابون بودرة، صابون غسيل,مسحوق غسيل اومو مركز برائحة جميلة وهادئة,"وقت غسيل أقصر، وغسل أكثر فعالية
إزالة ممتازة للأوساخ حتى على الملابس البيضاء والملونة الأكثر قذارة
تمتعي بالرائحة العذبة التي تحيط بك أثناء الغسيل",https://smartshopping.sa/web/image/product.product/1854/image_1024,product_product_1854_image_1024.png
1860,مطهر داك لافندر 1.5 لتر,11.5,الكماليات,مطهر ارضيات، منظف ارض، داك لافندر,مطهر ومنظف من داك برائحة اللافندر  يعطي نظافه وتعقيم ولمعان مبهر,"يزيل المواد اللزجة والأوساخ الصعبة بفعالية
يعمل كمزيل قوي المفعول بدون أن يترك أي بقايا زيتية
يساعد على إزالة البقع العنيدة واللطخات بسهولة
لا يخلف وراءه أي بقايا لاصقة",https://smartshopping.sa/web/image/product.product/1860/image_1024,product_product_1860_image_1024.png
1872,معطر جو كوتاج - عود 300 مل,5.75,الكماليات,معطر جو، ملطف جو,معطر جو بانتعاش العود,"معطر جو منزلي متعدد الإستخدامات
يعطي رائحة زكية للمكان
ينقي الجو ويجلب للمكان نفحات من الإنتعاش",https://smartshopping.sa/web/image/product.product/1872/image_1024,product_product_1872_image_1024.png
1838,مبيض ملابس كلوركس برتقال 1.89 لتر,11.5,الكماليات,مبيض ملابس، كلور، كلوركس,منظف مبيض متعدد الاستخدامات من كلوركس,"تساعد على القضاء على 99.9% من الجراثيم والبكتيريا
طريقة آمنة ومريحة لتنظيف منزلك
تحافظ على بياض الملابس ، و تنظف جميع الأسطح
تنعش الملابس برائحة فواحة لتجعلها أفضل من ذي قبل
يساعد على إزالة البقع العنيدة واللطخات بسهولة
لا يخلف وراءه أي بقايا لاصقة",https://smartshopping.sa/web/image/product.product/1838/image_1024,product_product_1838_image_1024.png
1859,مطهر ارضيات سنوفا ليمون 3 لتر,11.5,الكماليات,مطهر ارضيات، منظف ارض، سنوفا ليمون,سنوفا مطهر ارضيات مثالي لتنظيف الأرضيات والبلاط والأحواض يحافظ على المنزل أكثر نظافةً ولمعاناً,"مثالي لتنظيف الأرضيات والبلاط والأحواض
يحافظ على المنزل أكثر نظافةً ولمعاناً وخالياً من الجراثيم بالكامل
المطهر يقتل 99.9 ٪ من البكتيريا",https://smartshopping.sa/web/image/product.product/1859/image_1024,product_product_1859_image_1024.png
1836,ماسحة ارضيات موج احمر 45 سم,11.5,الكماليات,ماسحه، ممسحه، أدوات نظافه,ماسحة ارضيات موج باللون الأحمر 45 سم مع مقبض طويل,"مصنوعة من مواد عالية الجودة توفر متانة عالية
يزيل بقع الأوساخ والغبار بسهولة ويمتص الإنسكابات بفعالية
مزودة بممسحة للبقع لا تسبب الخدوش لإزالة آثار الأوساخ الصعبة والبقع
مثالي للأرضيات ذات الأوساخ العنيدة والشعر والجسيمات الصغيرة مثل أرضيات المطبخ والحمام والممرات",https://smartshopping.sa/web/image/product.product/1836/image_1024,product_product_1836_image_1024.png
1751,شامبو بيلور عناية الزيتون 400 مل,11.5,العناية الشخصية,شامبو، شامبو بيلور,شامبو من بيلور حمام الهناء بعناية الزيتون مناسب لجميع أنواع الشعر,,https://smartshopping.sa/web/image/product.product/1751/image_1024,product_product_1751_image_1024.png
1733,سلك اسفنج موج كبير 6 قطع,5.75,الكماليات,سلك اواني، مطبخ، أدوات نظافة، اسفنج موج,مثالية لمهام التنظيف الصعبة فهي تزيل آثار الطعام المحترق العالق في المقالي وعلى المشاوي وأدوات المطبخ,"اسفنجات تنظيف موج 6 قطع
مصنوعه من مواد ذات جودة عالية
مبتكرة وتدوم طويلا
مقاوم للبكتريا
تقضي على الروائح الكريهة",https://smartshopping.sa/web/image/product.product/1733/image_1024,product_product_1733_image_1024.png
1853,مسحوق غسيل جنتو ازرق بالعود 1.5 كجم,11.5,الكماليات,مسحوق غسيل، صابون بودرة، صابون غسيل,مسحوق غسيل جنتو عالي الرغوة برائحة العود ,"يزيل أصعب البقع
لا يؤثر في لون الأقمشة أثناء إزالة البقع اللاصقة
يضفي على ملابسك لمسة منعشة بعد كل غسلة",https://smartshopping.sa/web/image/product.product/1853/image_1024,product_product_1853_image_1024.png
1825,كريم منظف جيف روز اللؤلؤ 500 مل,11.5,الكماليات,كريم جيف، منظف جيف، جيف روز,كريم منظف متعدد الاستخدامات ذو قوة خارقة لإزالة الدهون وتنظيف الصحون والأواني المنزلية,"قوة خارقة على الدهون تدوم
يحافظ على روعة وجمال يديك
يقضي على الدهون ويجعل التنظيف أسهل
غني بالرغوة والفقاعات
السعة : 500 مل",https://smartshopping.sa/web/image/product.product/1825/image_1024,product_product_1825_image_1024.png
1835,ماسحة ارضيات بمقبض طويل,11.5,الكماليات,ماسحه، ممسحه، أدوات نظافه,ممسحة لتنظيف الأرضيات مصنوعة من الفولاذ المقاوم للصدأ ومزودة بمقبض طويل للحمام وجميع أنواع الأرضيات الملساء,"مناسب للمكتب، المطبخ، غرفة النوم، إلخ
استخدميه داخل منزلك لضمان لمسة نهائية لامعة على مرآة الحمام أو بلاط المطبخ. 
الكشط والسحب ثنائي الاستخدام، ويمكن التجفيف بسرعة
قدرة تنظيف قوية، لا يمكن فقط تنظيف القمامة الجافة مثل الغبار والشعر، ولكن أيضًا تنظيف القمامة الرطبة مثل البقع الزيتية",https://smartshopping.sa/web/image/product.product/1835/image_1024,product_product_1835_image_1024.png
1839,مبيض ملابس كلوركس زهور 1.89 لتر,11.5,الكماليات,مبيض ملابس، كلور، كلوركس,منظف مبيض متعدد الاستخدامات من كلوركس,"تساعد على القضاء على 99.9% من الجراثيم والبكتيريا
طريقة آمنة ومريحة لتنظيف منزلك
تحافظ على بياض الملابس ، و تنظف جميع الأسطح
تنعش الملابس برائحة فواحة لتجعلها أفضل من ذي قبل
يساعد على إزالة البقع العنيدة واللطخات بسهولة
لا يخلف وراءه أي بقايا لاصقة",https://smartshopping.sa/web/image/product.product/1839/image_1024,product_product_1839_image_1024.png
1824,كريم عناية مكثفة للجسم دوف 150 مل,11.5,العناية الشخصية,كريم جسم، دوف مرطب، لوشن,"كريم مركز يعمل على تغذيه مكثفة لبشرة ناعمة وجميلة يعطي ترطيب عالي لليدين والجسم وينعم البشرة الجافه
",,https://smartshopping.sa/web/image/product.product/1824/image_1024,product_product_1824_image_1024.png
1892,مناديل منعشة بالمسك الواحة 50 حبة,11.5,الكماليات,مناديل، مناديل معطره، مبلله، مناديل بالعود,مناديل منعشة من مصنع الواحة بعطر المسك تحتوي العلبة على 50 منديل,"      
مناديل مبلله برائحة المسك
      
سهلة الحمل والتنقل للسفر والخرجات
      
متعددة الاستعمالات
      
عبوة بتصميم عملي ومتين",https://smartshopping.sa/web/image/product.product/1892/image_1024,product_product_1892_image_1024.png
1891,مناديل منعشة بالليمون الواحة 50 حبة,11.5,الكماليات,مناديل، مناديل معطره، مبلله، مناديل بالعود,مناديل منعشة من مصنع الواحة بعطر الليمون تحتوي العلبة على 50 منديل,"      
مناديل مبلله برائحة الليمون
      
سهلة الحمل والتنقل للسفر والخرجات
      
متعددة الاستعمالات
      
عبوة بتصميم عملي ومتين",https://smartshopping.sa/web/image/product.product/1891/image_1024,product_product_1891_image_1024.png
1883,مناديل أطفال هجيز للبشرة الناعمة طبيعية 56 منديل,11.5,الكماليات,مناديل، مناديل مبللة، مناديل أطفال، هيجز,مناديل هجيز المبللة لبشرة ناعمة مع اللوشن وفيتامين ه 56 منديل,"خال من الكحول
صفر بارابين
صفر
 
فينوكسيثانول
نسبة 99% من المياه النقية
مع فيتامي
 
 
لبشرة ناعمة وصحية",https://smartshopping.sa/web/image/product.product/1883/image_1024,product_product_1883_image_1024.png
1888,مناديل سمايل 6 علب,11.5,الكماليات,مناديل، مناديل سمايل، مناديل الأصلي,مناديل ناعمة من سمايل متعددة الاستخدامات يحتوي المغلف على 6 علب كل علبة تحتوي على 100 منديل,"مناديل ناعمة وذات جودة ممتازة
متعددة الاستعمالات ومناسبة لجميع الأماكن
مناسبة لجميع أنوع البشرة
خفيفة الوزن وسهلة الحمل والتخزين
عالية الامتصاص وذات ملمس رقيق",https://smartshopping.sa/web/image/product.product/1888/image_1024,product_product_1888_image_1024.png
1893,مناديل منعشة بالورد الواحة 50 حبة,11.5,الكماليات,مناديل، مناديل معطره، مبلله، مناديل بالعود,مناديل منعشة من مصنع الواحة بعطر الورد تحتوي العلبة على 50 منديل,"      
مناديل مبلله برائحة الورد
      
سهلة الحمل والتنقل للسفر والخرجات
      
متعددة الاستعمالات
      
عبوة بتصميم عملي ومتين",https://smartshopping.sa/web/image/product.product/1893/image_1024,product_product_1893_image_1024.png
1886,مناديل جيب فاين كلاسيك 24 عبوة,11.5,الكماليات,مناديل، مناديل جيب، مناديل فاين كلاسيك,مناديل جيب عالية الجودة بطبقتين من فاين بنوع كلاسك  يحتوي الكرتون على 24 عبوة,"قوة امتصاص عالية مع نسيج رقيق
الأنسجة الرخوة والجودة الممتازة
مناسب لجميع أنواع البشرة
رائحة قطن منعشة وطبيعية",https://smartshopping.sa/web/image/product.product/1886/image_1024,product_product_1886_image_1024.png
